Country,Country Code,2010,2011,2012,2013,2014
Nauru,NRU,10025,10057,10279,10821,11853
Tuvalu,TUV,10531,10628,10725,10819,10908
Palau,PLW,20470,20599,20758,20920,21094
British Virgin Islands,VGB,27224,27901,28509,29056,29588
St. Martin (French part),MAF,30235,30615,30959,31264,31530
Turks and Caicos Islands,TCA,30994,31731,32431,33108,33739
San Marino,SMR,31110,31504,31914,32303,32657
Gibraltar,GIB,33189,33405,33623,33831,34038
Sint Maarten (Dutch part),SXM,35474,33435,34640,36607,37685
Liechtenstein,LIE,36003,36264,36545,36834,37127
Monaco,MCO,37094,37497,37783,37971,38132
Faroe Islands,FRO,48550,48608,48666,48747,48842
St. Kitts and Nevis,KNA,51445,52006,52591,53169,53739
Marshall Islands,MHL,52425,52542,52663,52793,52898
Northern Mariana Islands,MNP,54424,53786,53718,54036,54468
Cayman Islands,CYM,55507,56579,57523,58371,59172
American Samoa,ASM,55637,55320,55230,55307,55437
Greenland,GRL,56905,56890,56810,56483,56295
Bermuda,BMU,65124,64564,64798,65001,65139
Dominica,DMA,71440,71718,72044,72400,72778
Isle of Man,IMN,80072,80759,81406,82013,82590
Andorra,AND,84449,83751,82431,80788,79223
Seychelles,SYC,89770,87441,88303,89949,91359
Antigua and Barbuda,ATG,94661,95719,96777,97824,98875
Aruba,ABW,101669,102053,102577,103187,103795
Kiribati,KIR,102652,104656,106613,108535,110458
"Micronesia, Fed. Sts.",FSM,103616,103468,103503,103702,104015
Tonga,TON,104137,104577,104951,105328,105782
Grenada,GRD,104677,105075,105481,105909,106360
Virgin Islands (U.S.),VIR,108358,108292,108191,108044,107884
St. Vincent and the Grenadines,VCT,109315,109341,109328,109320,109357
Curacao,CUW,148703,150831,152088,153822,155909
Guam,GUM,159444,159678,159973,160375,160967
Channel Islands,CHI,159581,160497,161358,162180,162969
St. Lucia,LCA,172580,173832,174835,175660,176421
Sao Tome and Principe,STP,174776,178800,182889,187045,191266
Samoa,WSM,186205,187665,189194,190757,192290
Vanuatu,VUT,236295,241871,247485,253142,258850
New Caledonia,NCL,250000,254000,259000,263000,268000
French Polynesia,PYF,267820,269843,271703,273528,275484
Barbados,BRB,279569,280601,281585,282509,283385
Iceland,ISL,318041,319014,320716,323764,327386
Belize,BLZ,321608,329192,336701,344181,351694
"Bahamas, The",BHS,360832,366568,372039,377240,382169
Maldives,MDV,364511,375131,386203,397397,408247
Brunei Darussalam,BRN,388662,394013,399748,405716,411704
Malta,MLT,414508,416268,419455,423374,427364
Cabo Verde,CPV,502384,508067,513979,520106,526437
Luxembourg,LUX,506953,518347,530946,543360,556319
Suriname,SUR,526103,531589,537077,542540,547928
Solomon Islands,SLB,527790,539614,551531,563513,575504
"Macao SAR, China",MAC,536969,549439,562531,575841,588781
Montenegro,MNE,619428,620079,620601,621207,621810
Comoros,COM,689692,706569,723868,741500,759385
Bhutan,BTN,727641,740510,752967,764961,776448
Guyana,GUY,746556,749100,753091,758081,763393
Djibouti,DJI,851146,865937,881185,896688,912164
Fiji,FJI,859950,867086,873596,879715,885806
Equatorial Guinea,GNQ,951104,994290,1038593,1083746,1129424
Timor-Leste,TLS,1109591,1131523,1156760,1184366,1212814
Cyprus,CYP,1112607,1124835,1135062,1143896,1152309
Swaziland,SWZ,1202843,1225258,1248158,1271456,1295097
Bahrain,BHR,1240862,1278269,1300217,1315411,1336397
Mauritius,MUS,1250400,1252404,1255882,1258653,1260934
Trinidad and Tobago,TTO,1328100,1334788,1341588,1348248,1354493
Estonia,EST,1331475,1327439,1322696,1317997,1314545
Guinea-Bissau,GNB,1555880,1596154,1638139,1681495,1725744
Gabon,GAB,1640210,1697101,1756817,1817271,1875713
"Gambia, The",GMB,1692149,1746363,1802125,1859324,1917852
Kosovo,XKX,1775680,1791000,1805200,1824100,1821800
Qatar,QAT,1779676,1952054,2109568,2250473,2374419
Botswana,BWA,2014866,2051339,2089315,2128507,2168573
Lesotho,LSO,2040551,2064166,2089928,2117361,2145785
Slovenia,SVN,2048583,2052843,2057159,2059953,2061980
