Country,Country Code,2010,2011,2012,2013,2014
Aruba,ABW,75.016,75.158,75.299,75.44,75.582
Afghanistan,AFG,61.226,61.666,62.086,62.494,62.895
Angola,AGO,58.192,59.042,59.77,60.373,60.858
Albania,ALB,76.652,77.031,77.389,77.702,77.963
Andorra,AND,,,,,
Arab World,ARB,70.04105435,70.22389424,70.40801569,70.59829816,70.79395747
United Arab Emirates,ARE,76.344,76.498,76.648,76.798,76.948
Argentina,ARG,75.595,75.761,75.926,76.089,76.252
Armenia,ARM,73.331,73.571,73.814,74.044,74.255
American Samoa,ASM,,,,,
Antigua and Barbuda,ATG,75.412,75.574,75.733,75.892,76.05
Australia,AUS,81.69512195,81.89512195,82.04634146,82.14878049,82.3
Austria,AUT,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439
Azerbaijan,AZE,70.987,71.26,71.478,71.656,71.8
Burundi,BDI,54.861,55.338,55.807,56.259,56.688
Belgium,BEL,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488
Benin,BEN,59.319,59.595,59.855,60.113,60.373
Burkina Faso,BFA,57.096,57.762,58.377,58.942,59.457
Bangladesh,BGD,70.198,70.626,71.039,71.431,71.803
Bulgaria,BGR,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366
Bahrain,BHR,76.056,76.199,76.341,76.482,76.622
"Bahamas, The",BHS,74.761,74.923,75.079,75.23,75.379
Bosnia and Herzegovina,BIH,75.905,76.06,76.223,76.39,76.561
Belarus,BLR,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171
Belize,BLZ,69.676,69.731,69.798,69.895,70.027
Bermuda,BMU,79.28853659,81.15268293,81.67780488,80.57243902,80.79731707
Bolivia,BOL,66.408,66.945,67.451,67.922,68.357
Brazil,BRA,73.838,74.174,74.488,74.777,75.042
Barbados,BRB,74.973,75.133,75.292,75.448,75.603
Brunei Darussalam,BRN,76.719,76.734,76.764,76.823,76.917
Bhutan,BTN,67.79,68.227,68.639,69.038,69.43
Botswana,BWA,59.868,61.179,62.425,63.63,64.78
Central African Republic,CAF,47.56,48.284,49.041,49.825,50.621
Canada,CAN,81.19756098,81.44878049,81.5835122,81.77204878,81.95304878
Central Europe and the Baltics,CEB,75.29534873,75.88847488,75.9934886,76.35516299,76.68547642
Switzerland,CHE,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098
Channel Islands,CHI,80.145,80.326,80.494,80.654,80.807
Chile,CHL,78.454,78.599,78.758,78.931,79.117
China,CHN,75.236,75.425,75.602,75.769,75.932
Cote d'Ivoire,CIV,50.423,50.945,51.463,51.989,52.52
Cameroon,CMR,55.424,55.832,56.241,56.665,57.111
"Congo, Dem. Rep.",COD,56.907,57.418,57.894,58.347,58.782
"Congo, Rep.",COG,60.473,61.37,62.169,62.89,63.536
Colombia,COL,73.325,73.5,73.673,73.847,74.022
Comoros,COM,61.862,62.24,62.596,62.923,63.216
Cabo Verde,CPV,71.941,72.019,72.127,72.259,72.418
Costa Rica,CRI,78.756,78.911,79.077,79.254,79.44
Caribbean small states,CSS,72.25239203,72.44463184,72.61917985,72.77917989,72.92618028
Cuba,CUB,78.959,79.064,79.167,79.282,79.415
Curacao,CUW,,77.47317073,,,77.82439024
Cayman Islands,CYM,82.1902439,,,,
Cyprus,CYP,79.43,79.62,79.81,79.995,80.173
Czech Republic,CZE,77.42439024,77.87317073,78.07560976,78.17560976,78.82439024
Germany,DEU,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439
Djibouti,DJI,60.383,60.87,61.31,61.691,62.006
Dominica,DMA,,,,,
Denmark,DNK,79.1,79.8,80.05121951,80.3,80.7
Dominican Republic,DOM,72.702,72.901,73.098,73.292,73.483
Algeria,DZA,74.676,74.944,75.187,75.418,75.641
East Asia & Pacific (excluding high income),EAP,73.4823447,73.66913485,73.84581764,74.01349101,74.17624122
Early-demographic dividend,EAR,67.95573244,68.30810435,68.64277594,68.95765752,69.24863965
East Asia & Pacific,EAS,74.38391497,74.54606413,74.7411842,74.91907089,75.08600807
Europe & Central Asia (excluding high income),ECA,70.83656899,71.39912239,71.72322498,72.11527238,72.31902616
Europe & Central Asia,ECS,75.92923514,76.44174651,76.58834999,76.90133554,77.21746581
Ecuador,ECU,75.046,75.244,75.449,75.661,75.879
"Egypt, Arab Rep.",EGY,70.357,70.55,70.742,70.933,71.12
Euro area,EMU,80.746781,81.23280795,81.22711307,81.51299023,81.93339937
Eritrea,ERI,62.181,62.718,63.22,63.703,64.174
Spain,ESP,81.62682927,82.47560976,82.42682927,83.07804878,83.22926829
Estonia,EST,75.42926829,76.22926829,76.32682927,77.14146341,77.03414634
Ethiopia,ETH,61.625,62.501,63.275,63.952,64.535
European Union,EUU,79.72484897,80.23987134,80.25120666,80.53267167,80.92124172
Fragile and conflict affected situations,FCS,60.26354118,60.64474722,61.01381367,61.37457971,61.7258763
Finland,FIN,79.87073171,80.47073171,80.62682927,80.97560976,81.1804878
Fiji,FJI,69.267,69.448,69.625,69.796,69.96
France,FRA,81.66341463,82.11463415,81.96829268,82.2195122,82.67073171
Faroe Islands,FRO,80.63658537,80.88780488,81.18780488,81.43902439,81.6902439
"Micronesia, Fed. Sts.",FSM,68.582,68.673,68.765,68.862,68.966
Gabon,GAB,62.893,63.519,64.119,64.686,65.211
United Kingdom,GBR,80.40243902,80.95121951,80.90487805,81.00487805,81.30487805
Georgia,GEO,72.649,72.68,72.742,72.832,72.951
Ghana,GHA,60.924,61.254,61.561,61.86,62.154
Gibraltar,GIB,,,,,
Guinea,GIN,56.765,57.282,57.782,58.301,58.846
"Gambia, The",GMB,59.622,59.911,60.187,60.452,60.707
Guinea-Bissau,GNB,55.05,55.424,55.807,56.2,56.598
Equatorial Guinea,GNQ,55.908,56.265,56.601,56.905,57.18
Greece,GRC,80.38780488,80.73170732,80.63414634,81.28536585,81.38536585
Grenada,GRD,72.618,72.84,73.044,73.227,73.388
Greenland,GRL,70.85707317,71.06243902,71.29902439,71.8304878,
Guatemala,GTM,71.494,71.867,72.227,72.562,72.869
Guam,GUM,78.134,78.419,78.689,78.938,79.168
Guyana,GUY,66.022,66.117,66.216,66.318,66.425
